,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
0,0x97425d48faddc3f29d1add385405efc678580176f73e87dca4af94cc4b6db3bc,Success,Confirmed within 4 mins:39 secs,0 Ether ($0.00),0.0177323455 Ether ($31.68),0.0000001345 Ether (134.5 Gwei),"172,833","131,839 (76.28%)"
1,0x9badfd72550b0df4724aa44c45c82cfbda714811c5287fdf1c1831867799a846,Success,Confirmed within 18 secs,0 Ether ($0.00),0.003539835 Ether ($6.32),0.000000135 Ether (135 Gwei),"100,000","26,221 (26.22%)"
2,0x3a510529a7f4337ec349c6a65aa32e069aa69af05a890bfe74775e4353ec22f6,Success,Confirmed within 23 secs,0 Ether ($0.00),0.00595566 Ether ($10.64),0.000000135 Ether (135 Gwei),"55,145","44,116 (80%)"
3,0x517a625417a861f3cf90c67a1fb191a3ba129b833954d173acf02392e60545fb,Success,Remove,0 Ether ($0.00),0.003030615 Ether ($5.41),0.000000135 Ether (135 Gwei),"90,000","22,449 (24.94%)"
4,0xb44a8aebd1c0b0171ba7e0fb4f5ec6de811772dc03677099f129a9cc948cbf7e,Success,Confirmed within 2 mins:50 secs,0.05 Ether ($89.29),0.002835 Ether ($5.06),0.000000135 Ether (135 Gwei),"21,000","21,000 (100%)"
5,0x252c4ac63de47c83ee4c167b4e1bc16a8aec182cae8686ba06b140a5001d1b0e,Success,Confirmed within 3 mins:15 secs,0 Ether ($0.00),0.003538215 Ether ($6.32),0.000000135 Ether (135 Gwei),"100,000","26,209 (26.21%)"
6,0x6dda68615c96df27ae69007d52b0fb657f4c17f68389404b6fb3aec044114cab,Success,Confirmed within 3 mins:20 secs,"0.7540485 Ether ($1,346.56)",0.002835 Ether ($5.06),0.000000135 Ether (135 Gwei),"21,000","21,000 (100%)"
7,0x279729032501319943582eb7d43966fd38d787d97661acaedee934131e66a748,Success,Confirmed within 3 mins:20 secs,0 Ether ($0.00),0.003538215 Ether ($6.32),0.000000135 Ether (135 Gwei),"100,000","26,209 (26.21%)"
8,0xc1e9ca9aa50ff64e7ecccb480b37c1993d2cfe8835aa71515951b9f06fb99ba6,Success,Confirmed within 3 mins:25 secs,0 Ether ($0.00),0.003539835 Ether ($6.32),0.000000135 Ether (135 Gwei),"100,000","26,221 (26.22%)"
9,0x108efacdf1ab1b1ed6017ed9604587f0e12013ed34bdca8bd56d8df82ae7cc65,Success,Confirmed within 3 mins:25 secs,0 Ether ($0.00),0.003538215 Ether ($6.31),0.000000135 Ether (135 Gwei),"100,000","26,209 (26.21%)"
10,0xd9c3bcca92fc57ae4977edc56283550480edaed6739758f5fe3bba71715f3246,Success,Confirmed within 4 mins:34 secs,0.21380288 Ether ($381.47),0.002835 Ether ($5.06),0.000000135 Ether (135 Gwei),"21,000","21,000 (100%)"
11,0xe09713621c8cb328a650afab85972e6bf707ab02c7d735d1cc0000dfd3aa9336,Success,Confirmed within 4 mins:54 secs,0 Ether ($0.00),0.00290358 Ether ($5.18),0.000000135 Ether (135 Gwei),"80,000","21,508 (26.89%)"
12,0xa5c50eb373501fdd9d82ea9a58068bba464df44382875edc77b3f8311161389c,Success,Confirmed within 5 mins:18 secs,0 Ether ($0.00),0.00304425 Ether ($5.43),0.000000135 Ether (135 Gwei),"90,000","22,550 (25.06%)"
13,0x39b55c69f3b152c85b89163caf2f1489c478c11fdade7c351d1d42897e1f4b20,Success,Confirmed within 5 mins:24 secs,0 Ether ($0.00),0.003146985 Ether ($5.61),0.000000135 Ether (135 Gwei),"90,000","23,311 (25.9%)"
14,0x37b0bef079aabb1d17c6268fc0a9268132672da7f094428241606043db433cb4,Success,Confirmed within 5 mins:55 secs,0.04175 Ether ($74.49),0.002835 Ether ($5.06),0.000000135 Ether (135 Gwei),"200,000","21,000 (10.5%)"
15,0x853f07e1d7321df3b38d504d3b6b86c692e6e2d1f1e13187b5f170c07410e0f2,Success,Confirmed within 6 mins:1 sec,0 Ether ($0.00),0.00304762503293 Ether ($5.44),0.000000135000001459 Ether (135.000001459 Gwei),"37,587","22,575 (60.06%)"
16,0x8120accddd2580412d5e9b3d2691e7fdecbd1d6718833518f775fd071c5345f7,Success,Confirmed within 4 mins:59 secs,0 Ether ($0.00),0.0147169834 Ether ($26.26),0.0000001351 Ether (135.1 Gwei),"123,934","108,934 (87.9%)"
17,0xe9f2e3ecbc6d668fc8a4eaa34d196d45acb9d1580ec276e18c3b1b55301ab6f3,Success,Confirmed within 19 secs,0.057 Ether ($101.70),0.0234591258 Ether ($41.86),0.0000001353 Ether (135.3 Gwei),"206,277","173,386 (84.05%)"
18,0x046fd346f598c5fdcf0e26c0f0a0705602736f0583512a8ed5df90070e1c03b3,Success,Confirmed within 50 secs,0.150721116379348599 Ether ($268.92),0.0179079021 Ether ($31.95),0.0000001353 Ether (135.3 Gwei),"173,405","132,357 (76.33%)"
