,Transaction Hash,Status,Time Consumed,Value,transactionFees,gasPrice,gasLimit,gasUsePercent
18,0x88aa244d8183c379c3f323b779a3b32fcaafe0c1e213e7deca1ca03e926c9772,Success,Confirmed within 30 secs,0 Ether ($0.00),0.01772114 Ether ($29.86),0.00000017 Ether (170 Gwei),"119,924","104,242 (86.92%)"
19,0x5861ae73b7745ee65689c36469f1f0c5a3d98d315a55775d32ff5b5a1b3a3c0f,Success,Confirmed within 30 secs,"1.544762 Ether ($2,602.72)",0.00363825 Ether ($6.13),0.00000017325 Ether (173.25 Gwei),"50,000","21,000 (42%)"
20,0x80333df25868b742d69667575817718994e3d393b0d64ebf9274c48ef9e55a42,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00714153825 Ether ($12.03),0.00000017325 Ether (173.25 Gwei),"300,000","41,221 (13.74%)"
21,0x3eb726eaa89f0f55aaad7a504e41bf1e7695943e1c94072edaa54d235fd169a3,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0093136554 Ether ($15.69),0.0000001701 Ether (170.1 Gwei),"300,000","54,754 (18.25%)"
22,0x4958bfdedb106ae0eeba025ad6ae887765ea2244a52b91cbf0ad2a05a4278f34,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0070116921 Ether ($11.81),0.0000001701 Ether (170.1 Gwei),"300,000","41,221 (13.74%)"
23,0x3c127275fdd6de4e5873632208c290dc6468822408831977094c1b5b7d0f9abb,Success,Confirmed within 30 secs,0 Ether ($0.00),0.066929742 Ether ($112.77),0.000000171 Ether (171 Gwei),"395,317","391,402 (99.01%)"
24,0x1014e2f06651405e82f64718056139c5ed9ae56bac63a76618e6b33d89fd0e91,Success,Confirmed within 30 secs,0.05 Ether ($84.24),0.003591 Ether ($6.05),0.000000171 Ether (171 Gwei),"21,000","21,000 (100%)"
25,0x6696297c5d69b90e859f1fd15adbac29db3ded495da77918207ad148070afb27,Success,Confirmed within 30 secs,0.04 Ether ($67.39),0.003591 Ether ($6.05),0.000000171 Ether (171 Gwei),"25,200","21,000 (83.33%)"
26,0x7ea6428ad5eaa5678c2ef0e848fee4fa065327a1f489170b095f66842a2aaced,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007571784 Ether ($12.76),0.000000172 Ether (172 Gwei),"66,033","44,022 (66.67%)"
27,0x42b81169f553c5c2aeda401623d9dc4f98495e47949abe3baee6b254b52eaf7d,Success,Confirmed within 1 min,"1 Ether ($1,682.55)",0.031690486 Ether ($53.32),0.000000173 Ether (173 Gwei),"230,651","183,182 (79.42%)"
28,0x3306c548ad5344ddcd5adcc15dab35f720ccb45fd73e81df82a7898b9b9421ea,Success,Confirmed within 1 min,0 Ether ($0.00),0.062795886 Ether ($105.66),0.000000173 Ether (173 Gwei),"610,192","362,982 (59.49%)"
29,0xc431bb7f63cfb494ce36c4f6be5aa385352d0a035bf661201724ff4e944a43f2,Success,Confirmed within 30 secs,0 Ether ($0.00),0.02707104 Ether ($45.55),0.000000173 Ether (173 Gwei),"216,774","156,480 (72.19%)"
30,0x03f83dc6e8180741bbf3f081e104e2f13c0d7caa937ad384887db741d87915f5,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00623249805256 Ether ($10.49),0.000000173000001459 Ether (173.000001459 Gwei),"60,000","36,026 (60.04%)"
31,0x1ca18e2c7701cf1f0c9bf9cce99f7c545965e9d74aca9a1f01f148da72e2f9bf,Success,Confirmed within 1 min,0.07834507 Ether ($131.82),0.003654 Ether ($6.15),0.000000174 Ether (174 Gwei),"50,000","21,000 (42%)"
32,0x03763088d39036db6c548f1b636475e99c69afbfa5a87c2cf5fb2a5f75c64566,Success,Confirmed within 1 min,0.337 Ether ($567.02),0.0036603 Ether ($6.16),0.0000001743 Ether (174.3 Gwei),"21,500","21,000 (97.67%)"
33,0xa40e8a4a66a79da953b2e1138ae9b0f42618083fe5338a0d77f92d953d5b5822,Success,Confirmed within 30 secs,0.54254 Ether ($912.85),0.0036603 Ether ($6.16),0.0000001743 Ether (174.3 Gwei),"150,000","21,000 (14%)"
34,0x2d32e5ca910d6ed3e76ee72ebc34b4a12974988140ec84843d6fd581b1fb987d,Success,Confirmed within 30 secs,0 Ether ($0.00),0.0037233966 Ether ($6.27),0.0000001743 Ether (174.3 Gwei),"36,862","21,362 (57.95%)"
35,0xab36def217d374055f69c266760439b09191371a6078a1d8b0a8640a9fc57777,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007211575 Ether ($12.15),0.000000175 Ether (175 Gwei),"200,000","41,209 (20.6%)"
36,0x31fec9a38c708103ae33b56cdd33fa1d11dce5794a8911aa8bd43ea9928bc9b3,Success,Confirmed within 30 secs,0 Ether ($0.00),0.006547275 Ether ($11.03),0.000000175 Ether (175 Gwei),"78,619","37,413 (47.59%)"
37,0x30d3d0b5565a198d9e8b3a287d385af0a2599930a8c77b3a01a48e7e643b98fc,Success,Confirmed within 1 min,0 Ether ($0.00),0.00413289287 Ether ($6.96),0.00000017513 Ether (175.13 Gwei),"44,388","23,599 (53.17%)"
38,0x6f55b886f95810ca7d8cc662f716fca2e975fef8798d6d3087e1698411973752,Success,Confirmed within 1 min,"0.99 Ether ($1,667.99)",0.03700928 Ether ($62.35),0.000000176 Ether (176 Gwei),"248,381","210,280 (84.66%)"
39,0x20ca70f300c16bbacf2be330b5b3ee43c185c66421ea12b77c76bb5959e7d690,Success,Confirmed within 1 min,0 Ether ($0.00),0.008324272 Ether ($14.03),0.000000176 Ether (176 Gwei),"71,143","47,297 (66.48%)"
40,0x2a46722241c7a7e4c8507790b83ad43f6144bfdb91628aaa6444cda0fa03f2f0,Success,Confirmed within 30 secs,0 Ether ($0.00),0.024271104 Ether ($40.89),0.000000176 Ether (176 Gwei),"166,287","137,904 (82.93%)"
41,0xd9828882c390acf1a9069fc2332615bd7c1c62b813a1d1ddd09f5fdcba8983d0,Success,Confirmed within 30 secs,0 Ether ($0.00),0.004819056 Ether ($8.13),0.000000176 Ether (176 Gwei),"250,000","27,381 (10.95%)"
42,0x27e911584c4ede3ef2c5a7408da9a9de53a2afcb12e6fcfc66b54f696fb61f35,Success,Confirmed within 30 secs,0 Ether ($0.00),0.02059288002726 Ether ($34.74),0.000000176000000233 Ether (176.000000233 Gwei),"135,560","117,005 (86.31%)"
43,0x1b1c7db46f160515cc097623e3b65609213aa0e6ed98c19550287bb3d114cd33,Success,Confirmed within 30 secs,0 Ether ($0.00),0.019541331 Ether ($32.97),0.000000177 Ether (177 Gwei),"250,000","110,403 (44.16%)"
44,0x0f073c3bf34b75f1c62d27a643fd8d31fd1a23783404840fdb16cec9eeeaf33b,Success,Confirmed within 1 min,0 Ether ($0.00),0.00644183545838 Ether ($10.87),0.000000177100001605 Ether (177.100001605 Gwei),"60,000","36,374 (60.62%)"
45,0xee86d620bd630c405feeb6eac8db0a7890835be6fad8a211821549845d8fc405,Success,Confirmed within 30 secs,0 Ether ($0.00),0.00767981 Ether ($12.96),0.000000178 Ether (178 Gwei),"65,000","43,145 (66.38%)"
46,0xe5925452d41fd55cfbf6f012a429f1d56c7ad5174d3310f09bfa0c03ccd45d64,Success,Confirmed within 30 secs,0 Ether ($0.00),0.018674692 Ether ($31.51),0.000000178 Ether (178 Gwei),"150,000","104,914 (69.94%)"
47,0x220c3bec892f2989b0355d3af8203eb835bbb02b3e541cc6b604cec82d90c6fa,Success,Confirmed within 30 secs,0 Ether ($0.00),0.018674692 Ether ($31.51),0.000000178 Ether (178 Gwei),"150,000","104,914 (69.94%)"
48,0x80b27d6ab9897a421160e983e9e6e85eb573dd922436d2171c28c49d7155c157,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007541682 Ether ($12.72),0.000000178 Ether (178 Gwei),"250,000","42,369 (16.95%)"
49,0x2e7185aa0a1cfcd97981d91cce9c4ce5c84c6e802719e74b7e012d7244db6152,Success,Confirmed within 30 secs,0 Ether ($0.00),0.007541682 Ether ($12.72),0.000000178 Ether (178 Gwei),"250,000","42,369 (16.95%)"
